normalized_path,target_type,reference_count,article_count,source_articles
/articles/medical-expense-tax-deduction.html,article,1,1,articles/long-term-care-insurance-application.html
/categories/health-insurance.html,category,1,1,articles/medical-bill-negotiation.html
/articles/unemployment-benefit-eligibility.html,article,1,1,articles/national-employment-support-eligibility.html
/articles/job-training-card-guide.html,article,1,1,articles/national-employment-support-eligibility.html
/articles/national-employment-support-application.html,article,1,1,articles/national-employment-support-eligibility.html
/articles/employment-success-allowance.html,article,1,1,articles/national-employment-support-eligibility.html
/categories/education-benefits.html,category,1,1,articles/national-scholarship-application.html
/articles/youth-benefits-guide.html,article,1,1,articles/national-scholarship-application.html
/articles/earned-income-tax-credit.html,article,1,1,articles/national-tax-refund.html
/articles/comprehensive-income-tax-refund.html,article,1,1,articles/national-tax-refund.html
/articles/year-end-tax-settlement-refund.html,article,1,1,articles/national-tax-refund.html
/articles/debt-repayment-priority.html,article,1,1,articles/overdraft-account-guide.html
/articles/loan-refinancing-guide.html,article,1,1,articles/overdraft-account-guide.html
/articles/birth-support-benefits-guide.html,article,1,1,articles/parental-benefit-guide.html
/articles/daycare-fee-support-guide.html,article,1,1,articles/parental-benefit-guide.html
/categories/travel-living.html,category,1,1,articles/peak-season-hotel-saving.html
/articles/travel-budget-planning.html,article,1,1,articles/peak-season-hotel-saving.html
/articles/flight-ticket-saving.html,article,1,1,articles/peak-season-hotel-saving.html
/articles/card-overseas-payment-fee.html,article,1,1,articles/peak-season-hotel-saving.html
/articles/travel-insurance-claim-guide.html,article,1,1,articles/peak-season-hotel-saving.html
/articles/property-tax-payment-methods.html,article,1,1,articles/property-tax-joint-ownership.html
/articles/property-tax-check-payment-guide.html,article,1,1,articles/property-tax-july-2026.html
/articles/property-tax-refund-correction.html,article,1,1,articles/property-tax-july-2026.html
/articles/property-tax-appeal-guide.html,article,1,1,articles/property-tax-july-2026.html
/articles/property-tax-payment-guide.html,article,1,1,articles/property-tax-objection-guide.html
/articles/local-tax-payment-guide.html,article,1,1,articles/property-tax-payment-certificate.html
/articles/small-business-loan-guide.html,article,1,1,articles/small-business-policy-fund.html
/articles/business-credit-score-guide.html,article,1,1,articles/small-business-policy-fund.html
/articles/business-cash-flow-guide.html,article,1,1,articles/small-business-policy-fund.html
/articles/tax-arrears-check-guide.html,article,1,1,articles/small-business-policy-fund.html
/calculators/savings-goal.html,calculator,1,1,articles/spending-habits-change.html
/articles/aircon-filter-cleaning-saving.html,article,1,1,articles/summer-electricity-tier-check-2026.html
/articles/dehumidifier-electricity-cost.html,article,1,1,articles/summer-electricity-tier-check-2026.html
